drug,adverse_event,report_count
adalimumab,drug effective for unapproved indication,63
adalimumab,skin disorder,63
adalimumab,swelling face,63
adalimumab-adaz,device issue,63
albuterol sulfate,product use issue,63
albuterol sulfate\budesonide,product use issue,63
alemtuzumab,headache,63
alendronate sodium,medication error,63
alendronic acid,drug ineffective,63
alendronic acid,duodenal ulcer perforation,63
alendronic acid,helicobacter infection,63
amifampridine phosphate,paraesthesia,63
amikacin,accidental underdose,63
amikacin,sputum discoloured,63
"antihemophilic factor, human recombinant",chest injury,63
"antihemophilic factor, human recombinant",rib fracture,63
aripiprazole,agitation,63
aripiprazole,psychotic symptom,63
atorvastatin,respiratory failure,63
belimumab,weight increased,63
benralizumab,nausea,63
benralizumab,product use issue,63
bevacizumab,pruritus,63
bimekizumab-bkzx,abdominal discomfort,63
bimekizumab-bkzx,drug hypersensitivity,63
bortezomib,anaemia,63
brigatinib,blood glucose increased,63
brigatinib,dry eye,63
brigatinib,fall,63
brigatinib,musculoskeletal stiffness,63
budesonide,abdominal distension,63
budesonide,oedema peripheral,63
budesonide\formoterol,cough,63
budesonide\formoterol fumarate dihydrate,condition aggravated,63
buprenorphine hydrochloride\naloxone hydrochloride,tooth loss,63
cabotegravir\rilpivirine,exposure during pregnancy,63
cabozantinib s-malate,abdominal pain,63
calcium carbonate,gastrointestinal disorder,63
calcium carbonate,intentional product use issue,63
calcium oxybate\magnesium oxybate\potassium oxybate\sodium oxybate,confusional state,63
calcium oxybate\magnesium oxybate\potassium oxybate\sodium oxybate,weight increased,63
cannabidiol,seizure cluster,63
carboplatin,hypoxia,63
carboplatin,renal failure,63
carfilzomib,pneumonia,63
cariprazine,off label use,63
caspofungin acetate,drug ineffective,63
celecoxib,crohn's disease,63
celecoxib,laryngitis,63
celecoxib,prescribed underdose,63
celecoxib,red blood cell sedimentation rate increased,63
cenobamate,memory impairment,63
certolizumab pegol,needle issue,63
certolizumab pegol,oedema peripheral,63
cetirizine hydrochloride,sleep disorder,63
ciprofloxacin,insomnia,63
clopidogrel bisulfate,procedural haemorrhage,63
clozapine,asthenia,63
clozapine,pericarditis,63
corticotropin,migraine,63
crizotinib,malignant neoplasm progression,63
cyclophosphamide,abdominal pain,63
cyclosporine,dizziness,63
cyclosporine,mucosal inflammation,63
dabrafenib mesylate,malignant neoplasm progression,63
dapagliflozin,confusional state,63
denosumab,drug ineffective,63
dexamethasone,hypotension,63
dexamethasone,renal failure,63
dextromethorphan hydrobromide,drug ineffective,63
diazepam,altered state of consciousness,63
diclofenac,wound infection,63
diroximel fumarate,lymphocyte count decreased,63
diroximel fumarate,visual impairment,63
docetaxel,brain oedema,63
docetaxel,nail bed inflammation,63
docetaxel,nasal mucosal disorder,63
docetaxel,paronychia,63
dulaglutide,dizziness,63
duloxetine hydrochloride,off label use,63
dupilumab,skin tightness,63
dupilumab,tooth infection,63
dupilumab,white blood cell count increased,63
eculizumab,thrombotic microangiopathy,63
elexacaftor\ivacaftor\tezacaftor,alanine aminotransferase increased,63
eribulin,white blood cell count decreased,63
escitalopram oxalate,somnolence,63
esomeprazole,fall,63
esomeprazole,hypokalaemia,63
estradiol,anxiety,63
etanercept,device failure,63
etanercept-szzs,joint swelling,63
etoposide,thrombocytopenia,63
evolocumab,arthritis,63
evolocumab,influenza,63
fenfluramine hydrochloride,weight decreased,63
fluticasone furoate\umeclidinium bromide\vilanterol trifenatate,product storage error,63
fluticasone propionate\salmeterol xinafoate,wrong technique in product usage process,63
fremanezumab-vfrm,drug ineffective,63
fruquintinib,dry skin,63
fulvestrant,c-reactive protein increased,63
gemcitabine,diarrhoea,63
guselkumab,lower respiratory tract infection,63
human c1-esterase inhibitor,peripheral swelling,63
human immunoglobulin g,chronic kidney disease,63
human immunoglobulin g,dermatitis,63
human immunoglobulin g,ehlers-danlos syndrome,63
human immunoglobulin g,heart rate irregular,63
human immunoglobulin g,oropharyngeal candidiasis,63
human immunoglobulin g,renal pain,63
human immunoglobulin g\hyaluronidase (human recombinant),infected cyst,63
human immunoglobulin g\hyaluronidase (human recombinant),pulmonary mass,63
ibuprofen,melaena,63
idursulfase,cardiac disorder,63
idursulfase,exostosis,63
idursulfase,mass,63
infliximab-dyyb,gastrooesophageal reflux disease,63
infliximab-dyyb,infusion site pain,63
insulin glargine,cough,63
interferon beta-1a,stress,63
iron sucrose,nausea,63
lamotrigine,drug-induced liver injury,63
lanadelumab,post procedural complication,63
lanadelumab-flyo,hereditary angioedema,63
lenalidomide,respiratory tract infection,63
leniolisib phosphate,infection,63
lenvatinib,immune-mediated adrenal insufficiency,63
levonorgestrel,intentional product misuse,63
lidocaine,seizure,63
liraglutide,constipation,63
lisdexamfetamine dimesylate,product quality issue,63
lutetium lu-177 vipivotide tetraxetan,anaemia,63
maribavir,pneumonia,63
mepolizumab,abdominal pain upper,63
mepolizumab,surgery,63
metformin hydrochloride,respiratory failure,63
metformin hydrochloride,treatment failure,63
methotrexate,exposure during pregnancy,63
metoprolol,hypotension,63
metronidazole,dizziness,63
minoxidil,headache,63
morphine sulfate,drug hypersensitivity,63
mycophenolate mofetil,enterococcal infection,63
mycophenolate mofetil,inappropriate antidiuretic hormone secretion,63
nicotine,nicotine dependence,63
nintedanib,faeces discoloured,63
nintedanib,rhinorrhoea,63
nusinersen,headache,63
ocrelizumab,stress,63
octreotide acetate,injection site pain,63
ofatumumab,contusion,63
ofatumumab,device issue,63
olanzapine,electrocardiogram qt prolonged,63
olanzapine,loss of consciousness,63
olanzapine,tachycardia,63
omalizumab,blood pressure decreased,63
omalizumab,injection site erythema,63
osimertinib,hepatic failure,63
osimertinib,white blood cell count decreased,63
oxaliplatin,febrile neutropenia,63
oxycodone hydrochloride,maternal exposure during pregnancy,63
palbociclib,metastases to lung,63
pegvaliase-pqpz,nausea,63
pembrolizumab,hyperglycaemia,63
pirfenidone,pneumonia,63
pomalidomide,cerebrovascular accident,63
pomalidomide,erythema,63
pomalidomide,product dose omission in error,63
prednisolone,disease progression,63
pregabalin,asthma,63
pregabalin,intentional product use issue,63
quetiapine,anxiety,63
quetiapine,nausea,63
quetiapine fumarate,asthma,63
ramipril,cough,63
ravulizumab-cwvz,red blood cell count decreased,63
ravulizumab-cwvz,vision blurred,63
ravulizumab-cwvz,visual impairment,63
relugolix,drug interaction,63
relugolix,thrombosis,63
ribociclib succinate,fall,63
ripretinib,drug ineffective,63
risankizumab-rzaa,asthma,63
risankizumab-rzaa,burning sensation,63
risankizumab-rzaa,gastrooesophageal reflux disease,63
risankizumab-rzaa,limb operation,63
risankizumab-rzaa,liver disorder,63
risankizumab-rzaa,oropharyngeal pain,63
risdiplam,pneumonia,63
rituximab,circumstance or information capable of leading to medication error,63
rituximab,cytomegalovirus infection reactivation,63
ruxolitinib,polycythaemia vera,63
sacubitril\valsartan,fall,63
sarilumab,gait inability,63
sarilumab,psoriatic arthropathy,63
secukinumab,colitis,63
secukinumab,"sleep disorder due to general medical condition, insomnia type",63
secukinumab,therapy interrupted,63
semaglutide,blindness unilateral,63
semaglutide,confusional state,63
semaglutide,product use complaint,63
sertraline hydrochloride,weight increased,63
sparsentan,alanine aminotransferase increased,63
sparsentan,blood pressure increased,63
sulfamethoxazole\trimethoprim,acute kidney injury,63
tadalafil,pain in extremity,63
teduglutide,application site mass,63
teduglutide,blood test abnormal,63
teduglutide,device dislocation,63
teduglutide,dysmenorrhoea,63
teduglutide,liver function test increased,63
teduglutide,product supply issue,63
teduglutide,road traffic accident,63
teduglutide,shoulder fracture,63
tirzepatide,feeling hot,63
tirzepatide,ketoacidosis,63
tirzepatide,small intestinal obstruction,63
tocilizumab,diabetes mellitus,63
tocilizumab,grip strength decreased,63
tocilizumab,illness,63
tocilizumab,"sleep disorder due to general medical condition, insomnia type",63
tofacitinib citrate,chest pain,63
tramadol hydrochloride,headache,63
tramadol hydrochloride,vomiting,63
treprostinil,device adhesion issue,63
treprostinil,disturbance in attention,63
treprostinil,product dose confusion,63
treprostinil,sensitive skin,63
trofinetide,therapy interrupted,63
upadacitinib,diabetes mellitus,63
upadacitinib,foot fracture,63
upadacitinib,nerve compression,63
upadacitinib,post procedural complication,63
upadacitinib,rectal haemorrhage,63
upadacitinib,white blood cell count increased,63
valganciclovir,cytomegalovirus infection,63
valsartan,blood pressure increased,63
vedolizumab,agitation,63
vedolizumab,appetite disorder,63
vedolizumab,food allergy,63
vedolizumab,gallbladder disorder,63
vedolizumab,gastrointestinal stoma complication,63
vedolizumab,hepatic failure,63
vedolizumab,oral disorder,63
velaglucerase alfa,breast feeding,63
venlafaxine hydrochloride,vomiting,63
zoledronic acid,pruritus,63
zuranolone,sedation,63
.alpha.1-proteinase inhibitor human,infusion related reaction,62
.alpha.1-proteinase inhibitor human,migraine,62
abatacept,incorrect dose administered by device,62
abemaciclib,platelet count decreased,62
abrocitinib,pruritus,62
acalabrutinib,malaise,62
acetaminophen,gastrointestinal disorder,62
adalimumab,product label confusion,62
adalimumab-aaty,pain in extremity,62
albuterol sulfate,anxiety,62
alendronic acid,maternal exposure during pregnancy,62
allopurinol,stevens-johnson syndrome,62
alprazolam,substance use disorder,62
amikacin,feeling abnormal,62
amlodipine besylate,intentional product misuse,62
amlodipine besylate,rash,62
"antihemophilic factor, human recombinant",pharyngeal haemorrhage,62
"antihemophilic factor, human recombinant",treatment noncompliance,62
apixaban,back pain,62
apixaban,pneumonia,62
apixaban,treatment failure,62
apremilast,inflammatory bowel disease,62
aripiprazole,death,62
aripiprazole,mania,62
asfotase alfa,malaise,62
atorvastatin,mixed liver injury,62
atorvastatin,vomiting,62
axicabtagene ciloleucel,myelodysplastic syndrome,62
baclofen,overdose,62
belimumab,exposure during pregnancy,62
belimumab,pneumonia,62
bevacizumab,alanine aminotransferase increased,62
bimekizumab,stress,62
bimekizumab-bkzx,adverse event,62
bimekizumab-bkzx,stomatitis,62
brentuximab vedotin,platelet count decreased,62
budesonide\formoterol\glycopyrrolate,dizziness,62
budesonide\formoterol\glycopyrrolate,eye disorder,62
burosumab-twza,blood phosphorus decreased,62
calcium carbonate,osteoarthritis,62
calcium oxybate\magnesium oxybate\potassium oxybate\sodium oxybate,bipolar disorder,62
capecitabine,malignant neoplasm progression,62
capivasertib,malaise,62
carbamazepine,dyspnoea,62
carbamazepine,somnolence,62
carbidopa\levodopa,infection,62
carboplatin,leukopenia,62
celecoxib,c-reactive protein abnormal,62
certolizumab pegol,amnesia,62
ciprofloxacin,drug interaction,62
citalopram,sexual dysfunction,62
clozapine,intestinal obstruction,62
clozapine,psychotic symptom,62
corticotropin,arthritis,62
corticotropin,surgery,62
cyclosporine,acute graft versus host disease,62
cyclosporine,graft versus host disease,62
cytarabine,platelet count decreased,62
dabrafenib mesylate,fatigue,62
dapagliflozin propanediol,fatigue,62
daxibotulinumtoxin a-lanm,drug ineffective for unapproved indication,62
denosumab,hip fracture,62
dextroamphetamine,application site irritation,62
dextromethorphan hydrobromide\quinidine sulfate,therapy interrupted,62
diclofenac,psoriasis,62
diclofenac sodium,contusion,62
dimethyl fumarate,pruritus,62
dinutuximab,white blood cell count increased,62
docetaxel,breast cancer metastatic,62
donanemab-azbt,dyspnoea,62
doxorubicin,cardiotoxicity,62
drospirenone,abnormal withdrawal bleeding,62
dupilumab,allergy to animal,62
dupilumab,decreased activity,62
dupilumab,fibromyalgia,62
dupilumab,gout,62
dupilumab,multiple allergies,62
dupilumab,osteoarthritis,62
dupilumab,streptococcal infection,62
durvalumab,pruritus,62
durvalumab,sepsis,62
eculizumab,nausea,62
eculizumab,renal failure,62
efavirenz\emtricitabine\tenofovir disoproxil fumarate,osteoporosis,62
elranatamab-bcmm,pyrexia,62
empagliflozin,pruritus,62
enfortumab vedotin-ejfv,malaise,62
erenumab-aooe,pain,62
esomeprazole magnesium,cataract,62
esomeprazole magnesium,pyrexia,62
esomeprazole magnesium,weight decreased,62
estradiol\norethindrone acetate,product ineffective,62
etanercept,cough,62
etanercept-szzs,pneumonia,62
etrasimod arginine,headache,62
evolocumab,injection site indentation,62
fenfluramine,respiratory failure,62
fluconazole,off label use,62
foscarbidopa\foslevodopa,agitation,62
foscarbidopa\foslevodopa,sepsis,62
fostamatinib,death,62
fruquintinib,myalgia,62
gabapentin,dyspnoea,62
galcanezumab-gnlm,injection site mass,62
galcanezumab-gnlm,off label use,62
givinostat,diarrhoea,62
glatiramer acetate,product dose omission issue,62
golimumab,therapeutic response decreased,62
human c1-esterase inhibitor,product distribution issue,62
human immunoglobulin g,cyanosis,62
human immunoglobulin g,folliculitis,62
human immunoglobulin g,infected bite,62
human immunoglobulin g,infusion site infection,62
human immunoglobulin g,lipoma,62
human immunoglobulin g,skin reaction,62
human immunoglobulin g\hyaluronidase (human recombinant),hypogammaglobulinaemia,62
human immunoglobulin g\hyaluronidase (human recombinant),infusion site extravasation,62
human immunoglobulin g\hyaluronidase (human recombinant),tachycardia,62
human immunoglobulin g\hyaluronidase (human recombinant),vertigo,62
ibuprofen,anaemia,62
ibuprofen,erythema,62
ibuprofen,pain,62
icatibant acetate,amnesia,62
icatibant acetate,hypertension,62
icatibant acetate,oedema peripheral,62
idursulfase,acne,62
idursulfase,candida infection,62
idursulfase,catheter site infection,62
idursulfase,covid-19 pneumonia,62
idursulfase,depressed mood,62
idursulfase,hyperuricaemia,62
idursulfase,hypokalaemia,62
idursulfase,laryngeal oedema,62
idursulfase,product administration interrupted,62
idursulfase,product preparation error,62
inavolisib,hyperglycaemia,62
infliximab,contusion,62
infliximab,feeling abnormal,62
infliximab,haemorrhage,62
infliximab,palpitations,62
infliximab-dyyb,oral herpes,62
infliximab-dyyb,proctalgia,62
iohexol,contrast media allergy,62
isotretinoin,acne,62
leflunomide,condition aggravated,62
leflunomide,headache,62
leflunomide,nausea,62
lenalidomide,blood creatinine increased,62
lenalidomide,blood glucose increased,62
lenalidomide,stomatitis,62
letrozole,aspartate aminotransferase increased,62
leuprolide acetate,therapy interrupted,62
levofloxacin,off label use,62
levonorgestrel,adverse event,62
lisdexamfetamine dimesylate,brain fog,62
lisinopril,acute kidney injury,62
macitentan,pulmonary arterial hypertension,62
medroxyprogesterone acetate,incorrect dose administered by device,62
mepolizumab,herpes zoster,62
metformin hydrochloride,acidosis,62
metoprolol,brash syndrome,62
minoxidil,application site erythema,62
montelukast sodium,wheezing,62
mycophenolate mofetil,asthenia,62
mycophenolate mofetil,febrile neutropenia,62
mycophenolate mofetil,polyomavirus viraemia,62
natalizumab,general physical health deterioration,62
nemolizumab-ilto,blister,62
nemolizumab-ilto,peripheral swelling,62
nilotinib,haemoglobin decreased,62
niraparib,neuropathy peripheral,62
nirmatrelvir\ritonavir,product prescribing issue,62
nivolumab,pneumonitis,62
ocrelizumab,feeling abnormal,62
ofatumumab,burning sensation,62
ofatumumab,depression,62
ofatumumab,neuralgia,62
olanzapine,pyrexia,62
olanzapine,suicidal ideation,62
olaparib,illness,62
omalizumab,injection site pruritus,62
omalizumab,mast cell activation syndrome,62
omeprazole,fatigue,62
onabotulinumtoxina,cerebrovascular accident,62
oxaliplatin,hypotension,62
oxycodone hydrochloride,joint swelling,62
paclitaxel,decreased appetite,62
palbociclib,dry mouth,62
palbociclib,laboratory test abnormal,62
pancrelipase amylase\pancrelipase lipase\pancrelipase protease,feeding disorder,62
pegvaliase-pqpz,pruritus,62
pembrolizumab,dysphagia,62
pemigatinib,off label use,62
perfluorohexyloctane,accidental exposure to product,62
perfluorohexyloctane,exposure via skin contact,62
pexidartinib,product dose omission issue,62
pimavanserin tartrate,dysstasia,62
pimavanserin tartrate,therapeutic product effect incomplete,62
pomalidomide,drug intolerance,62
prednisone,diabetes mellitus,62
pregabalin,dry mouth,62
propranolol hydrochloride,decreased appetite,62
propranolol hydrochloride,insomnia,62
quetiapine,fall,62
ravulizumab-cwvz,neuromyelitis optica spectrum disorder,62
relugolix,bowel movement irregularity,62
relugolix,contusion,62
relugolix,decreased activity,62
relugolix,musculoskeletal discomfort,62
relugolix,pyrexia,62
ribociclib,back pain,62
ribociclib,electrocardiogram qt prolonged,62
ribociclib,leukopenia,62
ribociclib succinate,breast cancer metastatic,62
risankizumab-rzaa,gallbladder operation,62
risankizumab-rzaa,joint injury,62
rituximab,taste disorder,62
roflumilast,off label use,62
romosozumab-aqqg,compression fracture,62
romosozumab-aqqg,pain,62
ruxolitinib,osteoporosis,62
sacituzumab govitecan-hziy,myelosuppression,62
secukinumab,rhinorrhoea,62
secukinumab,upper respiratory tract infection,62
semaglutide,lethargy,62
setmelanotide,nausea,62
sodium oxybate,abdominal pain upper,62
sodium oxybate,muscle spasms,62
tacrolimus,cytomegalovirus viraemia,62
tacrolimus,disease progression,62
tacrolimus,polyomavirus-associated nephropathy,62
tafamidis,cerebrovascular accident,62
teduglutide,abdominal adhesions,62
teduglutide,anuria,62
teduglutide,compression fracture,62
teduglutide,renal injury,62
teduglutide,urine abnormality,62
teprotumumab-trbw,dry skin,62
tezepelumab-ekko,device delivery system issue,62
tiopronin,drug ineffective,62
tirzepatide,irritability,62
tirzepatide,obstructive pancreatitis,62
tivozanib hydrochloride,off label use,62
tocilizumab,joint stiffness,62
tofacitinib citrate,frequent bowel movements,62
tofacitinib citrate,tremor,62
topiramate,treatment failure,62
tralokinumab-ldrm,erythema,62
tramadol hydrochloride,nausea,62
trastuzumab,cardiac dysfunction,62
trastuzumab,cardiac failure,62
treprostinil,respiratory tract infection,62
tucatinib,nausea,62
upadacitinib,cholecystectomy,62
upadacitinib,renal failure,62
vedolizumab,barrett's oesophagus,62
vedolizumab,hepatic lesion,62
vedolizumab,lacrimation increased,62
vedolizumab,post-traumatic stress disorder,62
vedolizumab,upper gastrointestinal haemorrhage,62
velaglucerase alfa,joint injury,62
velaglucerase alfa,joint swelling,62
venlafaxine hydrochloride,electrocardiogram qt prolonged,62
vigabatrin,product dose omission issue,62
vonicog alfa,haemoglobin decreased,62
.alpha.1-proteinase inhibitor human,incorrect drug administration rate,61
.alpha.1-proteinase inhibitor human,pulmonary congestion,61
abaloparatide,brain fog,61
abatacept,ear infection,61
abatacept,incorrect dose administered,61
abemaciclib,back pain,61
acalabrutinib,white blood cell count increased,61
acetaminophen,maternal exposure during pregnancy,61
adalimumab,knee operation,61
adalimumab,nodule,61
adalimumab,syncope,61
adalimumab,tremor,61
adalimumab-adaz,nasopharyngitis,61
adalimumab-afzb,headache,61
adalimumab-fkjp,crohn's disease,61
adapalene,pain of skin,61
aflibercept,intraocular pressure increased,61
alendronate sodium,crohn's disease,61
alendronate sodium,loss of personal independence in daily activities,61
alendronate sodium,pregnancy,61
alendronic acid,diarrhoea,61
alendronic acid,impaired healing,61
ambrisentan,therapy interrupted,61
amikacin,vomiting,61
amiodarone,drug interaction,61
amlodipine besylate,tachycardia,61
"antihemophilic factor, human recombinant",asthenia,61
"antihemophilic factor, human recombinant",flank pain,61
"antihemophilic factor, human recombinant",rectal haemorrhage,61
apalutamide,hot flush,61
aripiprazole,neuroleptic malignant syndrome,61
aripiprazole,suicide attempt,61
atorvastatin,hypoaesthesia,61
atorvastatin,hypotension,61
avalglucosidase alfa-ngpt,drug specific antibody present,61
axicabtagene ciloleucel,anaemia,61
axitinib,hypertension,61
azacitidine,thrombocytopenia,61
belimumab,alopecia,61
belumosudil,pneumonia,61
bevacizumab,pulmonary embolism,61
bimekizumab,weight decreased,61
bortezomib,disease progression,61
bortezomib,plasma cell myeloma refractory,61
brivaracetam,product use issue,61
budesonide,abdominal pain,61
budesonide,malaise,61
budesonide\formoterol,wheezing,61
budesonide\formoterol\glycopyrrolate,headache,61
bupropion hydrochloride\dextromethorphan hydrobromide,drug ineffective,61
calcium carbonate,anxiety,61
calcium carbonate,bursitis,61
calcium oxybate\magnesium oxybate\potassium oxybate\sodium oxybate,chest discomfort,61
calcium oxybate\magnesium oxybate\potassium oxybate\sodium oxybate,disability,61
calcium oxybate\magnesium oxybate\potassium oxybate\sodium oxybate,dyspepsia,61
calcium oxybate\magnesium oxybate\potassium oxybate\sodium oxybate,wrong dose,61
capecitabine,arteriospasm coronary,61
carbamazepine,pruritus,61
carbamazepine,pyrexia,61
carbidopa\levodopa,pain in extremity,61
carboplatin,chest pain,61
celecoxib,incorrect route of product administration,61
celecoxib,live birth,61
cetuximab,malignant neoplasm progression,61
ciprofloxacin,pyrexia,61
cladribine,dizziness,61
clindamycin,drug ineffective,61
collagenase clostridium histolyticum,pain,61
corticotropin,decreased appetite,61
corticotropin,inflammation,61
cyclosporine,drug intolerance,61
cytarabine,nausea,61
dapagliflozin,ketosis,61
dapagliflozin,syncope,61
daratumumab,pyrexia,61
denosumab,type 2 diabetes mellitus,61
dexamethasone,anaphylactic shock,61
dexamethasone,leukopenia,61
dexamethasone,myelosuppression,61
diclofenac,dry mouth,61
diclofenac sodium,inflammation,61
diclofenac sodium,sinusitis,61
docetaxel,intentional product use issue,61
doxorubicin,condition aggravated,61
doxycycline,gastrointestinal disorder,61
dupilumab,affective disorder,61
dupilumab,blood cholesterol increased,61
dupilumab,dementia,61
dupilumab,eye haemorrhage,61
dupilumab,osteoporosis,61
durvalumab,constipation,61
elafibranor,fatigue,61
eliglustat,product dose omission in error,61
escitalopram oxalate,intentional overdose,61
escitalopram oxalate,vomiting,61
esomeprazole magnesium,chest discomfort,61
esomeprazole magnesium,pneumonia,61
esomeprazole magnesium,rheumatoid arthritis,61
estradiol,arthralgia,61
estradiol,vaginal haemorrhage,61
etanercept-szzs,musculoskeletal stiffness,61
etanercept-szzs,rash,61
etonogestrel,drug ineffective,61
fenfluramine,eating disorder,61
fenfluramine,gastrooesophageal reflux disease,61
fenfluramine,oxygen saturation decreased,61
fenfluramine,right ventricular dilatation,61
fluoxetine hydrochloride,anxiety,61
fluticasone propionate\salmeterol xinafoate,device mechanical issue,61
foscarbidopa\foslevodopa,dehydration,61
fruquintinib,myelosuppression,61
gabapentin,back pain,61
gabapentin,intentional product misuse,61
gabapentin,overdose,61
galcanezumab-gnlm,injection site erythema,61
glatiramer acetate,fatigue,61
golimumab,incorrect dose administered,61
golimumab,underdose,61
human immunoglobulin g,angiopathy,61
human immunoglobulin g,blood cholesterol increased,61
human immunoglobulin g,dyskinesia,61
human immunoglobulin g,hepatitis b,61
human immunoglobulin g,lymphoedema,61
human immunoglobulin g,thyroid mass,61
human immunoglobulin g\hyaluronidase (human recombinant),cholelithiasis,61
human immunoglobulin g\hyaluronidase (human recombinant),irritable bowel syndrome,61
human immunoglobulin g\hyaluronidase (human recombinant),spinal fracture,61
human immunoglobulin g\hyaluronidase (human recombinant),staphylococcal infection,61
icatibant acetate,depressive symptom,61
idursulfase,behaviour disorder,61
idursulfase,fear,61
inclisiran sodium,dizziness,61
infliximab,gait disturbance,61
infliximab,loss of consciousness,61
infliximab-dyyb,limb injury,61
infliximab-dyyb,pharyngitis streptococcal,61
insulin aspart,condition aggravated,61
insulin glargine,device dispensing error,61
interferon beta-1a,injection site pain,61
ixazomib,haemoglobin decreased,61
ixazomib,infection,61
ketoconazole,adverse drug reaction,61
lacosamide,dizziness,61
lebrikizumab-lbkz,pruritus,61
leflunomide,hepatic fibrosis,61
lenalidomide,renal failure,61
leuprolide acetate,diarrhoea,61
leuprolide acetate,nausea,61
leuprolide acetate,occupational exposure to product,61
maralixibat chloride,off label use,61
maribavir,product dose omission issue,61
mepolizumab,decreased appetite,61
mesalamine,fatigue,61
metformin hydrochloride,inappropriate schedule of product administration,61
metformin hydrochloride,intentional product misuse,61
metformin hydrochloride,somnolence,61
methotrexate,deep vein thrombosis postoperative,61
methotrexate,lupus-like syndrome,61
methotrexate sodium,c-reactive protein increased,61
morphine sulfate,vomiting,61
mycophenolate mofetil,no adverse event,61
naproxen,off label use,61
natalizumab,off label use,61
nintedanib,respiratory failure,61
nirmatrelvir\ritonavir,drug interaction,61
nitric oxide,product use issue,61
nivolumab,back pain,61
nivolumab,immune-mediated hepatic disorder,61
ocrelizumab,drug hypersensitivity,61
octreotide acetate,abdominal pain,61
ofatumumab,decreased immune responsiveness,61
olanzapine,neutropenia,61
olanzapine,sedation,61
olanzapine\samidorphan l-malate,off label use,61
olaparib,abdominal pain upper,61
olaparib,insomnia,61
olmesartan,gastrointestinal disorder,61
omalizumab,anaphylactic shock,61
omalizumab,herpes zoster,61
omalizumab,skin burning sensation,61
omaveloxolone,nausea,61
omeprazole,dizziness,61
omeprazole,headache,61
osimertinib,stomatitis,61
oxaliplatin,myelosuppression,61
oxycodone,toxicity to various agents,61
oxycodone hydrochloride,loss of consciousness,61
oxycodone hydrochloride,systemic lupus erythematosus,61
paclitaxel,hypersensitivity,61
pacritinib,haemoglobin decreased,61
palbociclib,renal impairment,61
pancrelipase amylase\pancrelipase lipase\pancrelipase protease,product administration error,61
pancrelipase amylase\pancrelipase lipase\pancrelipase protease,weight increased,61
panitumumab,therapy partial responder,61
pantoprazole,condition aggravated,61
pantoprazole,drug interaction,61
pantoprazole,headache,61
pantoprazole,peripheral swelling,61
pegvaliase-pqpz,vomiting,61
pegvisomant,product dose omission issue,61
pembrolizumab,tumour pseudoprogression,61
perampanel,off label use,61
polatuzumab vedotin,myelosuppression,61
pomalidomide,gait disturbance,61
pregabalin,completed suicide,61
pregabalin,general physical health deterioration,61
propranolol hydrochloride,headache,61
quetiapine,acute kidney injury,61
quetiapine,headache,61
quetiapine,loss of consciousness,61
ravulizumab-cwvz,neuropathy peripheral,61
ribociclib succinate,abdominal pain,61
ribociclib succinate,hepatic cytolysis,61
ribociclib succinate,liver function test increased,61
ribociclib succinate,peripheral swelling,61
rilonacept,injection site erythema,61
risankizumab-rzaa,foetal exposure during pregnancy,61
risankizumab-rzaa,vertigo,61
ritlecitinib tosylate,therapeutic product effect incomplete,61
rituximab,facet joint syndrome,61
rituximab,follicular lymphoma,61
ruxolitinib,haematoma,61
ruxolitinib,hypoaesthesia,61
sarilumab,vomiting,61
secukinumab,bronchitis,61
secukinumab,device difficult to use,61
secukinumab,joint stiffness,61
secukinumab,onychomadesis,61
semaglutide,gallbladder disorder,61
sertraline hydrochloride,dry mouth,61
sparsentan,blood glucose increased,61
tadalafil,cardiac failure,61
tafamidis,hypoacusis,61
teduglutide,back injury,61
teduglutide,blood calcium decreased,61
teduglutide,hallucination,61
teduglutide,hepatic enzyme abnormal,61
teduglutide,intestinal dilatation,61
teduglutide,overdose,61
teduglutide,renal pain,61
teduglutide,venous thrombosis,61
teduglutide,wound,61
tocilizumab,product use in unapproved indication,61
tocilizumab,sinus congestion,61
tocilizumab,toothache,61
tocilizumab,wrong technique in device usage process,61
tofacitinib citrate,chronic kidney disease,61
tofacitinib citrate,disease recurrence,61
tofacitinib citrate,therapeutic product effect decreased,61
tramadol,overdose,61
treprostinil,amnesia,61
treprostinil,clostridium difficile infection,61
treprostinil,diverticulitis,61
treprostinil,injection site bruising,61
treprostinil,skin exfoliation,61
triamcinolone acetonide,condition aggravated,61
trofinetide,crying,61
trofinetide,ear infection,61
upadacitinib,cellulitis,61
upadacitinib,ear infection,61
vancomycin,rash,61
vancomycin,tubulointerstitial nephritis,61
vedolizumab,blood alkaline phosphatase increased,61
vedolizumab,haemoptysis,61
vedolizumab,hidradenitis,61
vedolizumab,injection site rash,61
vedolizumab,intestinal ulcer,61
vedolizumab,iritis,61
vedolizumab,lymphocyte count decreased,61
vedolizumab,nervous system disorder,61
vedolizumab,overweight,61
vedolizumab,synovitis,61
venetoclax,urinary tract infection,61
venlafaxine hydrochloride,completed suicide,61
vibegron,urinary tract infection,61
voclosporin,arthralgia,61
voclosporin,insurance issue,61
zolbetuximab-clzb,blood albumin decreased,61
zolpidem tartrate,pharmaceutical nomadism,61
.alpha.1-proteinase inhibitor human,blood pressure diastolic increased,60
.alpha.1-proteinase inhibitor human,cerebrovascular accident,60
.alpha.1-proteinase inhibitor human,respiratory syncytial virus infection,60
